Company Name,Public/Private,Ticker,Industry,CIK
Tanger Factory Outlet Centers,Public,SKT,Real Estate,0000899715
Ventas,Public,VTR,Real Estate,0000740260
Travel Centers of America,Public,TA,Real Estate,0001378453
Stag Industrial Inc,Public,STAG,Real Estate,0001479094
Senior Housing Property Trust,Public,SNH,Real Estate,0001075415
Sabra Health Care REIT,Public,SBRA,Real Estate,0001492298
Regency Centers,Public,REG,Real Estate,0000910606
Quality Tech,Private,,Real Estate,
Prologis,Public,PLD,Real Estate,0001045609
Pebblebrook Hotel Trust,Public,PEB,Real Estate,0001474098
Pacific Premier Retail Trust,Private,,Real Estate,
National Retail Properties,Public,NNN,Real Estate,0000751364
LTC Properties,Public,LTC,Real Estate,0000887905
Lexington Retail Trust,Public,LXP,Real Estate,0000910108
Kite Realty,Public,KRG,Real Estate,0001286043
Kilroy Realty,Public,KRC,Real Estate,0001025996
Keystone Industrial Fund,Public,KTR,Real Estate,0000906113
Interstate Hotels & Resorts,Public,IHR,Real Estate,0001059341
Retail Properties of America,Public,RPAI,Real Estate,0001222840
Hospitality Properties Trust,Public,HPT,Real Estate,0000945394
Government Properties Income Trust,Public,GOV,Real Estate,0001456772
Federal Realty Investment Trust,Public,FRT,Real Estate,0000034903
Entertainment Properties Trust,Public,EPR,Real Estate,0001045450
Duke Realty Trust,Public,DRE,Real Estate,0000783280
ECM Realty Trust,Public,ECMR,Real Estate,0001499043
Dupont Fabros,Public,DFT,Real Estate,0001407739
Digital Realty Trust,Public,DLR,Real Estate,0001297996
Developers Diversified Realty,Public,DDR,Real Estate,0000894315
Corporate Office Properties,Public,OFC,Real Estate,0000860546
Coresite Realty Trust,Public,COR,Real Estate,0001490892
Commonwealth REIT,Public,CWH,Real Estate,0001669779
Clearview Hotel Trust,Public,CVW,Real Estate,0001490985
Cedar Shopping Center,Public,CDR,Real Estate,0000761648
CBL & Associates,Public,CBL,Real Estate,0000910612
Triumph Group,Public,TGI,Aerospace,0001021162
Community Health Systems,Public,CYH,Healthcare,0001108109
Computer Associates,Public,CA,Tech,0000356028
Sally Beauty,Public,SBH,Consumer/Retail,0001368458
JBS USA,Public,JBS,Consumer/Retail,0001467955
"PSC, LLC",Private,,Industrials,
Vertafore,Private,,Tech,
Hewlett Packard Inc.,Public,HP,Tech,0000046765
Bankrate,Public,RATE,Tech,0001518222
Dell,Public,DELL,Tech,0000826083
American Tire Distributors,Public,ATD,Transportation,0001610400
Interpublic Group,Public,IPG,CME,0000051644
Kimberly Clark,Public,KMB,Consumer/Retail,0000055785
Reynolds American,Public,RAI,Consumer/Retail,0001275283
Web.com,Public,WWW,Tech,0000110471
Universal Hospital Services,Public,UHOS,Healthcare,0000886171
Coty Inc.,Public,COTY,Consumer/Retail,0001024305
SunGard,Private,,Tech,
PDL BioPharma,Public,PDLI,Healthcare,0000882104
Republic Services,Public,RSG,Industrials,0001060391
Providence Service Corporation,Public,PRSC,Healthcare,0001220754
Arrowhead General,Private,,FIG,
Pacific Architects and Engineers,Private,,Aerospace,
Coca-Cola,Public,KO,Consumer/Retail,0000021344
Trader Corporation,Private,,CME,
Belfor,Private,,Industrials,
Carnival,Public,CCL,Real Estate,0000815097
SureWest Communications,Public,SURW,CME,0000943117
Kirby Corp,Public,KEX,Transportation,0000056047
Verint,Public,VRNT,Tech,0001166388
Johnson & Johnson,Public,JNJ,Healthcare,0000200406
Alcoa,Public,AA,Industrials,0000004281
iPayment,Public,IPMT,Tech,0001140184
Artel,Private,,Aerospace,
Nordstrom,Public,JWN,Consumer/Retail,0000072333
LegalShield,Public,PPD,CME,0000311657
Sensata Technologies,Public,ST,Industrials,0001477294
Autopistas,Private,,Infrastructure,
Wesco Aircraft,Public,WAIR,Aerospace,0001378718
Select Medical,Public,SEM,Healthcare,0001320414
Honeywell International,Public,HON,Industrials,0000773840
Infor,Private,,Tech,
Equity Residential,Public,EQR,Real Estate,0000906107
Go Daddy,Public,DADY,Tech,0001362108
First Quality Group of Companies,Private,,Consumer/Retail,
Masonite,Public,DOOR,Industrials,0000893691
Molson Coors Brewing Company,Public,TAP,Consumer/Retail,0000024545
CR Bard,Public,BCR,Healthcare,0000009892
RentPath,Private,,Tech,
Ipreo,Private,,Tech,
Flowers Foods,Public,FLO,Consumer/Retail,0001128928
Roper Industries,Public,ROP,Industrials,0000882835
Life Time Fitness,Public,LTM,Consumer/Retail,0001076195
Middleby Corp,Public,MIDD,Industrials,0000769520
Actuant,Public,ATU,Industrials,0000006955
Arch Coal,Public,ACI,Industrials,0001037676
Du Pont De Nemours,Public,DD,Industrials,0000030554
AWAS Aviation Trading Limited,Public,AWAS,Leasing,
Air Lease Corporation,Public,AL,Leasing,0001487712
BE Aerospace,Public,BEAV,Aerospace,0000861361
Boeing,Public,BA,Aerospace,0000012927
CACI International,Public,CACI,Aerospace,0000016058
Moog Inc,Public,MOG/A,Aerospace,0000067887
Bristol-Myers Squibb,Public,BMY,Healthcare,0000014272
Francesca's Holdings,Public,FRAN,Consumer/Retail,0001399935
Nike,Public,NKE,Consumer/Retail,0000320187
Target,Public,TGT,Consumer/Retail,0000027419
Texas Roadhouse,Public,TXRH,Consumer/Retail,0001289460
Teva Pharmaceuticals,Public,TEVA,Healthcare,0000818686
Telx Group,Public,TELX,CME,0001484427
Brock Group,Private,,Industrials,
Swift Transportation,Public,SWFT,Transportation,0001492691
New Breed,Private,,Transportation,
New Century Transportation,Public,NCTX,Transportation,0001497599
Equity Lifestyle Properties,Public,ELS,Real Estate,0000895417
KIMCO,Public,KIM,Real Estate,0000879101
Washington REIT,Public,WRE,Real Estate,0000104894
Summit Hotel Properties,Public,INN,Real Estate,0001497645
RLJ Lodging Trust,Public,RLJ,Real Estate,0001511337
Macerich,Public,MAC,Real Estate,0000912242
Chesapeake Lodging Trust,Public,CHSP,Real Estate,0001473078
Bojangles,Public,BOJA,Consumer/Retail,0001630132
Renaissance Learning,Public,RLRN,Tech,0001030484
Lockheed Martin,Public,LMT,Aerospace,0000936468
Immucor,Public,BLUD,Healthcare,0000736822
MSG Nutritional,Private,,Consumer/Retail,
Hussmann International,Private,,Industrials,
Expedia,Public,EXPE,Tech,0001324424
TripAdvisor,Public,TRIP,Tech,0001526520
Express Scripts,Public,ESRX,Healthcare,0001532063
Quality Distribution,Public,QLTY,Transportation,0000922863
Welltower,Public,HCN,Real Estate,0000766704
NCR Corporation,Public,NCR,Tech,0000070866
DataBank,Private,,CME,
Cantor Commercial Real Estate,Private,,Real Estate,
Kinetic Concepts (Acelity),Public,KCI,Healthcare,0000831967
Gilead Sciences,Public,GILD,Healthcare,0000882095
United Technologies,Public,UTX,Aerospace,0000101829
Triton Container,Private,,Industrials,
